2025/10/16 21:00:56 [notice] 1#1: using the "epoll" event method
2025/10/16 21:00:56 [notice] 1#1: nginx/1.29.2
2025/10/16 21:00:56 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2025/10/16 21:00:56 [notice] 1#1: OS: Linux 6.14.0-33-generic
2025/10/16 21:00:56 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/10/16 21:00:56 [notice] 1#1: start worker processes
2025/10/16 21:00:56 [notice] 1#1: start worker process 20
2025/10/16 21:00:56 [notice] 1#1: start worker process 21
2025/10/16 21:00:56 [notice] 1#1: start worker process 22
2025/10/16 21:00:56 [notice] 1#1: start worker process 23
2025/10/16 21:00:56 [notice] 1#1: start worker process 24
2025/10/16 21:00:56 [notice] 1#1: start worker process 25
2025/10/16 21:00:56 [notice] 1#1: start worker process 26
2025/10/16 21:00:56 [notice] 1#1: start worker process 27
2025/10/16 21:00:56 [notice] 1#1: start worker process 28
2025/10/16 21:00:56 [notice] 1#1: start worker process 29
2025/10/16 21:00:56 [notice] 1#1: start worker process 30
2025/10/16 21:00:56 [notice] 1#1: start worker process 31
